,0,1,2,3,4,5,6,7,8,9,10,11
0,0.50883883,0.5240901,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076
1,0.5240901,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746
2,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565
3,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588
4,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024
5,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155
6,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042
7,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059
8,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542
9,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135
10,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324
11,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862
12,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916
13,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787
14,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775
15,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418
16,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194
17,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946
18,0.558059,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227
19,0.7431542,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071
20,0.5986135,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844
21,0.52582324,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836
22,0.48526862,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344
23,0.58162916,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285
24,0.64124787,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766
25,0.6689775,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577
26,0.44367418,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815
27,0.71057194,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084
28,0.80415946,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732
29,0.78336227,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806
30,0.6967071,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981
31,0.6169844,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808
32,0.41247836,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506
33,0.49913344,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424
34,0.35355285,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362
35,0.36741766,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105
36,0.48145577,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807
37,0.6890815,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973
38,0.84402084,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328
39,0.7514732,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096
40,0.9455806,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394
41,0.842981,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0
42,0.6942808,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883
43,0.53691506,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544
44,0.71854424,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894
45,0.4783362,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884
46,0.44194105,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964
47,0.48942807,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374
48,0.40207973,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565
49,0.5043328,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858
50,0.86759096,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858
51,0.7549394,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465
52,1.0,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025
53,0.63396883,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581
54,0.68457544,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645
55,0.7292894,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326
56,0.6370884,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858
57,0.42772964,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094
58,0.62218374,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437
59,0.45788565,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465
60,0.6065858,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0
61,0.6065858,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059
62,0.79029465,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344
63,0.64818025,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174
64,0.8145581,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844
65,0.5164645,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543
66,0.7556326,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706
