,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
138,35.0,15.2,2.0,260.1,37.0,22.6,48.5,286.8,57.0,26.2,46.1,169.4,0.39341423,0.66169846
139,37.0,22.6,48.5,286.8,57.0,26.2,46.1,169.4,70.0,26.9,116.2,145.5,0.66169846,0.57365686
140,57.0,26.2,46.1,169.4,70.0,26.9,116.2,145.5,69.0,26.6,103.6,222.9,0.57365686,0.49566725
141,70.0,26.9,116.2,145.5,69.0,26.6,103.6,222.9,65.0,22.4,50.1,197.5,0.49566725,0.45545927
142,69.0,26.6,103.6,222.9,65.0,22.4,50.1,197.5,63.0,13.6,69.9,175.0,0.45545927,0.43084922
143,65.0,22.4,50.1,197.5,63.0,13.6,69.9,175.0,54.0,5.6,1.1,163.4,0.43084922,0.4863085
144,63.0,13.6,69.9,175.0,54.0,5.6,1.1,163.4,51.0,0.5,3.0,156.3,0.4863085,0.7556326
145,54.0,5.6,1.1,163.4,51.0,0.5,3.0,156.3,40.0,-3.0,0.2,172.3,0.7556326,0.6263432
146,51.0,0.5,3.0,156.3,40.0,-3.0,0.2,172.3,30.0,0.6,8.175,250.0,0.6263432,0.6013865
147,40.0,-3.0,0.2,172.3,30.0,0.6,8.175,250.0,39.0,9.1,11.6,212.7,0.6013865,0.68734837
148,30.0,0.6,8.175,250.0,39.0,9.1,11.6,212.7,53.0,15.8,63.6,205.5,0.68734837,0.41039857
149,39.0,9.1,11.6,212.7,53.0,15.8,63.6,205.5,51.0,20.3,64.1,230.3,0.41039857,0.5175044
150,53.0,15.8,63.6,205.5,51.0,20.3,64.1,230.3,67.0,23.4,125.3,150.4,0.5175044,0.53171575
151,51.0,20.3,64.1,230.3,67.0,23.4,125.3,150.4,70.0,27.2,79.3,181.3,0.53171575,0.5636049
152,67.0,23.4,125.3,150.4,70.0,27.2,79.3,181.3,69.0,26.0,132.1,185.4,0.5636049,0.6291161
153,70.0,27.2,79.3,181.3,69.0,26.0,132.1,185.4,68.0,21.0,118.9,194.6,0.6291161,0.6034663
154,69.0,26.0,132.1,185.4,68.0,21.0,118.9,194.6,58.0,14.5,31.1,213.5,0.6034663,0.545234
155,68.0,21.0,118.9,194.6,58.0,14.5,31.1,213.5,44.0,6.3,16.5,206.1,0.545234,0.63154244
156,58.0,14.5,31.1,213.5,44.0,6.3,16.5,206.1,38.0,-1.0,0.1,189.3,0.63154244,0.5126516
157,44.0,6.3,16.5,206.1,38.0,-1.0,0.1,189.3,37.0,-3.0,3.45,214.2,0.5126516,0.7171577
158,38.0,-1.0,0.1,189.3,37.0,-3.0,3.45,214.2,52.0,1.0,18.0,179.9,0.7171577,0.79792035
159,37.0,-3.0,3.45,214.2,52.0,1.0,18.0,179.9,39.0,7.0,7.4,238.9,0.79792035,0.8627383
160,52.0,1.0,18.0,179.9,39.0,7.0,7.4,238.9,43.0,15.9,32.2,262.2,0.8627383,0.82461005
161,39.0,7.0,7.4,238.9,43.0,15.9,32.2,262.2,44.0,22.9,14.7,280.9,0.82461005,0.53067595
162,43.0,15.9,32.2,262.2,44.0,22.9,14.7,280.9,45.0,26.2,95.5,269.9,0.53067595,0.50849223
163,44.0,22.9,14.7,280.9,45.0,26.2,95.5,269.9,66.0,27.0,196.6,185.1,0.50849223,0.40485272
164,45.0,26.2,95.5,269.9,66.0,27.0,196.6,185.1,70.0,25.7,60.9,178.7,0.40485272,0.67902946
165,66.0,27.0,196.6,185.1,70.0,25.7,60.9,178.7,66.0,21.1,23.3,148.8,0.67902946,0.41837087
166,70.0,25.7,60.9,178.7,66.0,21.1,23.3,148.8,49.0,15.3,5.9,227.9,0.41837087,0.48734835
167,66.0,21.1,23.3,148.8,49.0,15.3,5.9,227.9,59.0,2.2,26.1,152.7,0.48734835,0.5473137
168,49.0,15.3,5.9,227.9,59.0,2.2,26.1,152.7,42.0,-2.3,2.91,172.6,0.5473137,0.3646447
169,59.0,2.2,26.1,152.7,42.0,-2.3,2.91,172.6,43.0,-4.8,10.4,189.9,0.3646447,0.48596182
170,42.0,-2.3,2.91,172.6,43.0,-4.8,10.4,189.9,47.0,-1.0,2.6,137.2,0.48596182,0.6291161
171,43.0,-4.8,10.4,189.9,47.0,-1.0,2.6,137.2,47.0,4.1,22.2,172.2,0.6291161,0.8221838
172,47.0,-1.0,2.6,137.2,47.0,4.1,22.2,172.2,43.0,11.2,17.5,213.5,0.8221838,0.66204506
173,47.0,4.1,22.2,172.2,43.0,11.2,17.5,213.5,45.0,21.7,29.5,269.2,0.66204506,0.5181976
174,43.0,11.2,17.5,213.5,45.0,21.7,29.5,269.2,60.0,24.7,88.7,223.0,0.5181976,0.60797226
175,45.0,21.7,29.5,269.2,60.0,24.7,88.7,223.0,65.0,28.6,34.0,181.5,0.60797226,0.5760832
176,60.0,24.7,88.7,223.0,65.0,28.6,34.0,181.5,64.0,26.5,177.8,207.4,0.5760832,0.52201045
177,65.0,28.6,34.0,181.5,64.0,26.5,177.8,207.4,63.0,21.3,80.8,198.2,0.52201045,0.5805893
178,64.0,26.5,177.8,207.4,63.0,21.3,80.8,198.2,58.0,13.6,59.0,182.6,0.5805893,0.6124784
179,63.0,21.3,80.8,198.2,58.0,13.6,59.0,182.6,44.0,5.8,16.5,199.5,0.6124784,0.72374356
180,58.0,13.6,59.0,182.6,44.0,5.8,16.5,199.5,33.0,-1.0,2.91,208.7,0.72374356,0.3882149
181,44.0,5.8,16.5,199.5,33.0,-1.0,2.91,208.7,26.0,-4.5,3.45,240.8,0.3882149,0.8714038
182,33.0,-1.0,2.91,208.7,26.0,-4.5,3.45,240.8,51.0,-0.1,12.3,144.0,0.8714038,0.79792035
183,26.0,-4.5,3.45,240.8,51.0,-0.1,12.3,144.0,25.0,8.1,10.145,283.4,0.79792035,0.8426344
184,51.0,-0.1,12.3,144.0,25.0,8.1,10.145,283.4,36.0,15.2,15.3,262.2,0.8426344,0.72790295
185,25.0,8.1,10.145,283.4,36.0,15.2,15.3,262.2,37.0,21.3,21.8,275.1,0.72790295,0.4197574
186,36.0,15.2,15.3,262.2,37.0,21.3,21.8,275.1,52.0,26.4,117.4,242.0,0.4197574,0.5487002
187,37.0,21.3,21.8,275.1,52.0,26.4,117.4,242.0,67.0,27.5,265.7,153.1,0.5487002,0.61559796
188,52.0,26.4,117.4,242.0,67.0,27.5,265.7,153.1,72.0,26.4,171.3,190.3,0.61559796,0.48492196
189,67.0,27.5,265.7,153.1,72.0,26.4,171.3,190.3,60.0,20.2,64.0,209.6,0.48492196,0.3729636
190,72.0,26.4,171.3,190.3,60.0,20.2,64.0,209.6,62.0,14.2,28.7,171.9,0.3729636,0.49116114
191,60.0,20.2,64.0,209.6,62.0,14.2,28.7,171.9,56.0,7.1,21.2,139.6,0.49116114,0.47348353
192,62.0,14.2,28.7,171.9,56.0,7.1,21.2,139.6,47.0,-1.0,2.9,173.7,0.47348353,0.64748704
193,56.0,7.1,21.2,139.6,47.0,-1.0,2.9,173.7,44.0,-3.6,0.1,168.6,0.64748704,0.6606586
194,47.0,-1.0,2.9,173.7,44.0,-3.6,0.1,168.6,30.0,-1.3,8.175,218.8,0.6606586,0.7064125
195,44.0,-3.6,0.1,168.6,30.0,-1.3,8.175,218.8,40.0,5.9,9.2,222.6,0.7064125,0.81005204
196,30.0,-1.3,8.175,218.8,40.0,5.9,9.2,222.6,39.0,16.2,53.5,235.8,0.81005204,0.48561528
197,40.0,5.9,9.2,222.6,39.0,16.2,53.5,235.8,43.0,22.8,31.3,265.7,0.48561528,0.4655113
198,39.0,16.2,53.5,235.8,43.0,22.8,31.3,265.7,60.0,25.0,103.9,172.1,0.4655113,0.6318891
199,43.0,22.8,31.3,265.7,60.0,25.0,103.9,172.1,71.0,27.4,284.0,166.3,0.6318891,0.6998267
200,60.0,25.0,103.9,172.1,71.0,27.4,284.0,166.3,71.0,26.0,59.9,214.3,0.6998267,0.6897747
201,71.0,27.4,284.0,166.3,71.0,26.0,59.9,214.3,60.0,21.1,81.2,233.9,0.6897747,0.5383016
202,71.0,26.0,59.9,214.3,60.0,21.1,81.2,233.9,54.0,14.6,21.4,231.0,0.5383016,0.35285962
203,60.0,21.1,81.2,233.9,54.0,14.6,21.4,231.0,51.0,4.3,81.1,187.3,0.35285962,0.37053722
204,54.0,14.6,21.4,231.0,51.0,4.3,81.1,187.3,49.0,-4.2,7.6,133.8,0.37053722,0.4422877
205,51.0,4.3,81.1,187.3,49.0,-4.2,7.6,133.8,61.0,-4.7,3.0,138.9,0.4422877,0.62772965
206,49.0,-4.2,7.6,133.8,61.0,-4.7,3.0,138.9,51.0,-1.4,3.4,159.6,0.62772965,0.8048527
207,61.0,-4.7,3.0,138.9,51.0,-1.4,3.4,159.6,45.0,6.2,10.7,213.1,0.8048527,0.7376084
208,51.0,-1.4,3.4,159.6,45.0,6.2,10.7,213.1,39.0,12.6,5.5,264.2,0.7376084,0.3480069
209,45.0,6.2,10.7,213.1,39.0,12.6,5.5,264.2,47.0,21.9,23.6,244.8,0.3480069,0.6391681
210,39.0,12.6,5.5,264.2,47.0,21.9,23.6,244.8,71.0,23.8,91.0,132.4,0.6391681,0.66481805
211,47.0,21.9,23.6,244.8,71.0,23.8,91.0,132.4,71.0,27.4,235.6,216.4,0.66481805,0.46031198
212,71.0,23.8,91.0,132.4,71.0,27.4,235.6,216.4,69.0,27.3,118.6,223.8,0.46031198,0.5958406
213,71.0,27.4,235.6,216.4,69.0,27.3,118.6,223.8,68.0,20.7,71.1,164.8,0.5958406,0.5864818
214,69.0,27.3,118.6,223.8,68.0,20.7,71.1,164.8,60.0,13.6,16.4,203.9,0.5864818,0.610052
215,68.0,20.7,71.1,164.8,60.0,13.6,16.4,203.9,42.0,6.3,0.2,201.2,0.610052,0.5559792
216,60.0,13.6,16.4,203.9,42.0,6.3,0.2,201.2,40.0,0.1,2.91,208.0,0.5559792,0.26308492
217,42.0,6.3,0.2,201.2,40.0,0.1,2.91,208.0,45.0,-0.6,3.45,192.4,0.26308492,0.6994801
218,40.0,0.1,2.91,208.0,45.0,-0.6,3.45,192.4,55.0,-0.4,4.8,107.9,0.6994801,0.69012135
219,45.0,-0.6,3.45,192.4,55.0,-0.4,4.8,107.9,37.0,10.1,0.9,233.8,0.69012135,0.83916813
220,55.0,-0.4,4.8,107.9,37.0,10.1,0.9,233.8,45.0,17.1,20.8,231.1,0.83916813,0.7109186
221,37.0,10.1,0.9,233.8,45.0,17.1,20.8,231.1,40.0,22.2,33.7,274.1,0.7109186,0.49358746
222,45.0,17.1,20.8,231.1,40.0,22.2,33.7,274.1,59.0,25.1,91.8,237.1,0.49358746,0.66863084
223,40.0,22.2,33.7,274.1,59.0,25.1,91.8,237.1,61.0,28.1,119.8,174.4,0.66863084,0.4343154
224,59.0,25.1,91.8,237.1,61.0,28.1,119.8,174.4,62.0,26.3,50.1,224.9,0.4343154,0.315078
