,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
274,68.0,27.8,109.6,187.3,53.0,21.4,25.4,214.2,49.0,13.0,4.4,244.8,0.48908147,0.55320626
275,53.0,21.4,25.4,214.2,49.0,13.0,4.4,244.8,54.0,5.7,1.6,173.1,0.55320626,0.5833622
276,49.0,13.0,4.4,244.8,54.0,5.7,1.6,173.1,32.0,-2.5,0.2,191.6,0.5833622,0.41074523
277,54.0,5.7,1.6,173.1,32.0,-2.5,0.2,191.6,30.0,-1.7,3.45,200.3,0.41074523,0.8294627
278,32.0,-2.5,0.2,191.6,30.0,-1.7,3.45,200.3,39.0,-0.68,2.0,150.5,0.8294627,0.7431542
279,30.0,-1.7,3.45,200.3,39.0,-0.68,2.0,150.5,31.0,9.7,2.5,271.3,0.7431542,0.8266898
280,39.0,-0.68,2.0,150.5,31.0,9.7,2.5,271.3,43.0,14.7,39.4,246.4,0.8266898,0.64402086
281,31.0,9.7,2.5,271.3,43.0,14.7,39.4,246.4,38.0,22.3,58.5,270.5,0.64402086,0.5646447
282,43.0,14.7,39.4,246.4,38.0,22.3,58.5,270.5,51.0,26.3,9.4,217.8,0.5646447,0.60277295
283,38.0,22.3,58.5,270.5,51.0,26.3,9.4,217.8,62.0,28.0,86.8,194.9,0.60277295,0.7202773
284,51.0,26.3,9.4,217.8,62.0,28.0,86.8,194.9,60.0,25.9,63.9,205.9,0.7202773,0.569844
285,62.0,28.0,86.8,194.9,60.0,25.9,63.9,205.9,58.0,23.1,90.9,239.8,0.569844,0.41421142
286,60.0,25.9,63.9,205.9,58.0,23.1,90.9,239.8,59.0,13.3,22.9,196.4,0.41421142,0.5719238
287,58.0,23.1,90.9,239.8,59.0,13.3,22.9,196.4,52.0,5.8,21.3,151.5,0.5719238,0.5247834
288,59.0,13.3,22.9,196.4,52.0,5.8,21.3,151.5,49.0,-1.2,5.7,197.0,0.5247834,0.420104
289,52.0,5.8,21.3,151.5,49.0,-1.2,5.7,197.0,51.0,-1.5,4.7,183.4,0.420104,0.76637787
290,49.0,-1.2,5.7,197.0,51.0,-1.5,4.7,183.4,58.0,1.0,37.7,153.2,0.76637787,0.86551136
291,51.0,-1.5,4.7,183.4,58.0,1.0,37.7,153.2,40.0,9.1,11.9,253.1,0.86551136,0.5313692
292,58.0,1.0,37.7,153.2,40.0,9.1,11.9,253.1,32.0,15.7,12.7,281.7,0.5313692,0.58024263
293,40.0,9.1,11.9,253.1,32.0,15.7,12.7,281.7,53.0,21.1,49.3,185.3,0.58024263,0.4117851
294,32.0,15.7,12.7,281.7,53.0,21.1,49.3,185.3,50.0,26.9,35.0,199.4,0.4117851,0.45996532
295,53.0,21.1,49.3,185.3,50.0,26.9,35.0,199.4,66.0,26.7,108.5,150.8,0.45996532,0.67036396
296,50.0,26.9,35.0,199.4,66.0,26.7,108.5,150.8,72.0,26.7,167.4,164.7,0.67036396,0.7344887
297,66.0,26.7,108.5,150.8,72.0,26.7,167.4,164.7,63.0,21.8,71.1,225.4,0.7344887,0.53691506
298,72.0,26.7,167.4,164.7,63.0,21.8,71.1,225.4,50.0,13.5,1.8,243.9,0.53691506,0.6294628
