,humidness (t-12),temperature(t-12),precipitation(t-12),sunshine_duration(t-12),humidness (t-11),temperature(t-11),precipitation(t-11),sunshine_duration(t-11),humidness (t-10),temperature(t-10),precipitation(t-10),sunshine_duration(t-10),humidness (t-9),temperature(t-9),precipitation(t-9),sunshine_duration(t-9),humidness (t-8),temperature(t-8),precipitation(t-8),sunshine_duration(t-8),humidness (t-7),temperature(t-7),precipitation(t-7),sunshine_duration(t-7),humidness (t-6),temperature(t-6),precipitation(t-6),sunshine_duration(t-6),humidness (t-5),temperature(t-5),precipitation(t-5),sunshine_duration(t-5),humidness (t-4),temperature(t-4),precipitation(t-4),sunshine_duration(t-4),humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1),sunshine_duration(t+2),sunshine_duration(t+3),sunshine_duration(t+4),sunshine_duration(t+5),sunshine_duration(t+6),sunshine_duration(t+7),sunshine_duration(t+8),sunshine_duration(t+9),sunshine_duration(t+10),sunshine_duration(t+11)
169,0.5084746,0.20555556,0.052279994,0.5126516,0.2881356,0.37222224,0.021492885,0.7171577,0.35593224,0.61944443,0.0935231,0.79792035,0.37288135,0.81388885,0.042695325,0.8627383,0.38983053,0.90555555,0.27737442,0.82461005,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.3646447,0.48596182,0.6291161,0.8221838,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356
170,0.2881356,0.37222224,0.021492885,0.7171577,0.35593224,0.61944443,0.0935231,0.79792035,0.37288135,0.81388885,0.042695325,0.8627383,0.38983053,0.90555555,0.27737442,0.82461005,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.48596182,0.6291161,0.8221838,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149
171,0.35593224,0.61944443,0.0935231,0.79792035,0.37288135,0.81388885,0.042695325,0.8627383,0.38983053,0.90555555,0.27737442,0.82461005,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.6291161,0.8221838,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038
172,0.37288135,0.81388885,0.042695325,0.8627383,0.38983053,0.90555555,0.27737442,0.82461005,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.8221838,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035
173,0.38983053,0.90555555,0.27737442,0.82461005,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344
174,0.74576277,0.92777777,0.5710137,0.53067595,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295
175,0.81355935,0.8916667,0.17688064,0.50849223,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574
176,0.74576277,0.7638889,0.06767354,0.40485272,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002
177,0.45762712,0.6027778,0.01713622,0.67902946,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796
178,0.62711865,0.23888889,0.07580599,0.41837087,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196
179,0.33898306,0.1138889,0.008451932,0.48734835,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636
180,0.35593224,0.04444444,0.030206216,0.5473137,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114
181,0.42372882,0.15,0.007551554,0.3646447,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353
