,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.16949153,0.116666675,0.0005808888,0.60519934,0.0,0.16666667,0.0,0.7258232,0.220339,0.35,0.031948883,0.68526864,0.27118647,0.575,0.018007552,0.8017331,0.38983053,0.7777778,0.0052279993,0.92027736,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.50883883,0.5240901,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076
1,0.0,0.16666667,0.0,0.7258232,0.220339,0.35,0.031948883,0.68526864,0.27118647,0.575,0.018007552,0.8017331,0.38983053,0.7777778,0.0052279993,0.92027736,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.5240901,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746
2,0.220339,0.35,0.031948883,0.68526864,0.27118647,0.575,0.018007552,0.8017331,0.38983053,0.7777778,0.0052279993,0.92027736,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565
3,0.27118647,0.575,0.018007552,0.8017331,0.38983053,0.7777778,0.0052279993,0.92027736,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588
4,0.38983053,0.7777778,0.0052279993,0.92027736,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024
5,0.5762712,0.8833333,0.16003487,0.63154244,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155
6,0.9152543,0.8861111,0.8928261,0.39930674,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042
7,1.0,0.84166664,0.726111,0.29913345,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.7966102,0.9611111,0.4060413,0.6759099,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059
8,0.8474576,0.7527778,0.095556214,0.5421144,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.7966102,0.9611111,0.4060413,0.6759099,0.88135594,0.9166667,0.24164973,0.705026,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542
9,0.74576277,0.53333336,0.08945687,0.48492196,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.7966102,0.9611111,0.4060413,0.6759099,0.88135594,0.9166667,0.24164973,0.705026,0.779661,0.6944445,0.12808597,0.6918545,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135
10,0.44067794,0.29444444,0.007551554,0.4655113,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.7966102,0.9611111,0.4060413,0.6759099,0.88135594,0.9166667,0.24164973,0.705026,0.779661,0.6944445,0.12808597,0.6918545,0.42372882,0.56666666,0.124891095,0.85615253,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324
11,0.37288135,0.20277779,0.008422888,0.4918544,0.45762712,0.072222225,0.014231776,0.50883883,0.32203388,0.21388888,0.0,0.5240901,0.42372882,0.41944444,0.030787107,0.6214905,0.4745763,0.58055556,0.050537325,0.8090121,0.55932206,0.73333335,0.12053443,0.7830156,0.59322035,0.8611111,0.103107765,0.8162912,0.7966102,0.9611111,0.4060413,0.6759099,0.88135594,0.9166667,0.24164973,0.705026,0.779661,0.6944445,0.12808597,0.6918545,0.42372882,0.56666666,0.124891095,0.85615253,0.74576277,0.3277778,0.006099332,0.30814558,0.36915076,0.49358746,0.562565,0.6093588,0.49844024,0.8343155,0.5688042,0.558059,0.7431542,0.5986135,0.52582324,0.48526862
